Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;Column10;Column11;Column12
Company Name;Country of Headquarters;ESG score;ESG score2;ESG score3;ESG score4;ESG score5;ESG score6;ESG score7;ESG score8;ESG score9;ESG score10
FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
Bayer AG;Germany;93.28;92.29;90.73;89.12;89.65;84.4;82.92;74.95;73.85;74.65
Beiersdorf AG;Germany;70.87;66.17;62.56;63.5;62.53;59.21;54.05;56.12;55.88;59.08
Bilfinger SE;Germany;68.95;63.63;70.13;68.51;70.49;71.45;63.57;69.86;60.45;53.11
Hugo Boss AG;Germany;88.86;88.95;86.98;86.18;88.23;74.75;74.31;72.38;51.27;48.9
Commerzbank AG;Germany;80.32;78.18;70.65;69.83;73.2;69.59;62.79;67.1;66.32;68.33
Continental AG;Germany;78.77;79.61;80.26;77.92;84.45;84.48;80.69;80.25;78.79;77.17
Deutsche Bank AG;Germany;89.2;85.68;85.74;85.54;80.89;81.01;76.97;76.73;81.15;83.86
Deutsche Lufthansa AG;Germany;77.24;70.86;70.64;76.46;73.03;72.47;67.4;65.55;69.47;66.47
Fuchs Petrolub SE;Germany;56.24;52.19;46.08;47.15;52.33;32.26;26.13;26.87;24.67;25.55
Heidelberg Materials AG;Germany;83.03;83.36;82.36;77.2;78.97;80.17;80.55;79.58;78.09;74.75
Henkel AG & Co KGaA;Germany;79.63;80.64;81.92;75.48;70.12;72.08;72.26;78.01;78.3;76.4
Hochtief AG;Germany;87.49;88.45;88.94;84.98;84.9;86.88;89.15;81.48;78.86;73.06
K&S AG;Germany;64.91;57.09;57.25;52.89;51.63;44.28;36.99;37.92;52.4;54.54
Leoni AG;Germany;65.97;62.83;61.72;57.83;54.94;49.43;51.18;51.01;59.12;53.32
Muenchener Rueckversicherungs Gesellschaft in Muenchen AG;Germany;88.96;85.32;88.94;84.41;83.11;82.48;69.96;69.87;71.97;68.56
Porsche Automobil Holding SE;Germany;18.56;15.32;11.4;9.95;11.24;7.75;3.91;7.61;11.44;17.76
TUI AG;Germany;76.89;79.51;79.54;81.96;84.97;82.62;83.77;73.59;76.12;66.16
Rheinmetall AG;Germany;81.18;80.07;69.72;42.73;38.5;43.89;45.66;39.17;39.27;37.93
SAP SE;Germany;90.71;94.49;93.18;93.4;93.58;92.24;91.56;90.55;88.62;90.69
Salzgitter AG;Germany;71.59;69.05;64.6;58.94;57.08;54.27;35.66;27.54;29.06;28.97
Suedzucker AG;Germany;68.33;62.63;53.71;48;44.18;48.24;33.64;35.43;23.32;17.01
E ON SE;Germany;76.74;73.02;70.64;74.99;74.45;68.58;77.42;78.35;79.53;82.04
Volkswagen AG;Germany;85.45;86.05;89.17;87.6;83.13;82.53;79.92;80.18;83.95;79.24
Elringklinger AG;Germany;55.2;52.21;41.36;46.78;47.33;49.93;53.72;54.38;40.03;42.22
Zurich Insurance Group AG;Switzerland;89.36;89.98;87.75;83.89;79.71;66.92;67.86;61.2;62.78;59.24
Sonova Holding AG;Switzerland;85.17;88.63;84.19;83.76;80.17;76.38;67.32;66.8;64.73;50.19
GAM Holding AG;Switzerland;81.55;76.72;65.05;54.71;56.43;37.56;35.13;41.35;42.05;22.77
OC Oerlikon Corporation AG Pfaeffikon;Switzerland;75.53;59.82;53.59;47.5;47.51;47.71;46.27;48.15;46.29;49.67
Ems Chemie Holding AG;Switzerland;42.7;35.52;35.47;33.41;22.2;21.85;22.48;21.2;22.8;24.08
Compagnie Financiere Richemont SA;Switzerland;78.34;67.47;66.66;64.85;65.29;56.83;61.04;60.99;68.38;61.56
Georg Fischer AG;Switzerland;83;83.23;74.88;76.52;74.85;73.54;76.6;74.69;78.15;72.86
Flughafen Zuerich AG;Switzerland;46.23;31.48;33.33;30.8;27.25;29.25;30.4;30.98;28.38;28.82
Holcim AG;Switzerland;77.51;74.72;74.97;74.69;78.53;77.1;72.04;68.9;70.59;67.39
Valiant Holding AG;Switzerland;52.73;49.29;45.68;41.98;45.3;47.38;42.45;45.04;50.47;44.2
Chocoladefabriken Lindt & Spruengli AG;Switzerland;73.56;73.17;69.22;64.2;61.34;56.23;52;45.73;45.55;41.34
Nestle SA;Switzerland;85.42;91.39;89.3;90.6;82.53;85.32;86.49;88.55;92.58;92.47
Rieter Holding AG;Switzerland;55.18;65.72;59.18;57.51;50.64;36.47;36.54;29.56;29.26;34.23
Schindler Holding AG;Switzerland;51.23;59.45;52.78;50.24;46.08;43.58;46.8;42.38;38.7;39.76
Sika AG;Switzerland;80.65;81.15;77.15;65.32;64.36;60.3;59.84;51.5;44.59;43.49
Sulzer AG;Switzerland;72.14;75.22;61.82;64.88;52.57;56.07;61.06;73.14;80.54;85.49
Fresenius SE & Co KGaA;Germany;82.79;82.98;75.4;73.35;63.48;43.91;46.48;51.87;44.58;47.76
SGS SA;Switzerland;86.29;87.05;85.68;81.82;84.07;81.55;79.04;80.38;78.6;72.86
Bayerische Motoren Werke AG;Germany;89.82;83.68;86.83;83.88;84.14;87.1;85.84;86.28;88.37;85.81
Ceconomy AG;Germany;80.56;75.29;72.26;61.52;61.82;75.52;74.82;73.28;78.25;72.84
Baloise Holding AG;Switzerland;42.39;41.57;44.53;44.79;42.69;45.33;50.7;51.07;50.62;46.26
RWE AG;Germany;72.65;66.09;67.45;70.95;70.56;72.22;70.92;72.82;74.29;74.48
Siemens AG;Germany;87.32;89.44;90.38;87.92;85.5;83.84;82.46;83.52;84.5;82.86
thyssenkrupp AG;Germany;74.37;76.45;76.52;67.76;70.42;71.43;73.3;66.8;61.12;62.56
Deutsche Telekom AG;Germany;87.08;87.6;82.4;77.76;77.06;79.4;78.63;70.23;73.62;75.79
Aryzta AG;Switzerland;58.33;56.88;57.05;53.77;48.38;45.81;47.01;25.9;24.04;16.62
Adecco Group AG;Switzerland;73.56;73.41;69.96;64.65;67.68;70.07;72.9;65.1;68.69;71.48
Allianz SE;Germany;91.98;92.81;94.32;94.11;94.97;86.09;86.65;88.46;86.12;88.67
BASF SE;Germany;92.32;93.12;92.6;90.71;89.9;83.78;83.78;87.9;88.61;86.79
GEA Group AG;Germany;83.13;70.31;68.67;68.4;68.8;63.76;49.21;39;33.86;33.15
Chubb Ltd;Switzerland;52.07;50.56;50.5;51.59;49.31;49.14;37.59;38.09;39.56;42.52
Rhoen Klinikum AG;Germany;47.07;47.8;38.52;33.86;35.45;32.08;26.73;32.81;31.59;37.13
MLP SE;Germany;65.65;61.63;50.88;47.44;43.46;28.28;40.55;32.4;31.31;36.77
Belimo Holding AG;Switzerland;61.73;50.42;48.67;43.32;40.81;36.87;30.83;37.84;39.21;34.84
BB Biotech AG;Switzerland;41.77;20.77;20.66;11.18;10.82;6.65;5.85;4.87;6.41;9.5
Novartis AG;Switzerland;85.26;86.39;85.55;83.2;85.15;82.99;84.24;84.3;84.46;84.7
Huber+Suhner AG;Switzerland;64.7;64.83;64.48;51.36;50.33;42.74;39.66;48.43;36.67;40.57
Fresenius Medical Care AG & Co KGaA;Germany;86.42;86.72;84.13;79.68;80.14;74.18;72.72;68.92;66.43;67.55
SolarWorld AG;Germany;62.91;66.81;69.23;51.32;54.41;54.76;56.83;57.03;71.65;63.46
Puma SE;Germany;86.08;85.44;81.27;80.14;72.49;73.96;72.93;74.53;72.03;73.76
IWG Plc;Switzerland;54.88;52.11;53.31;59.03;58.92;49.08;50.15;35.9;39.06;45.45
Dormakaba Holding AG;Switzerland;84.96;82.39;82.02;71.54;68.66;62.06;55.07;42.21;46.23;39.71
Clariant AG;Switzerland;80.49;79.76;80.48;76.63;77.56;76.45;76.5;68.79;68.33;66.94
SGL Carbon SE;Germany;70.12;69.5;67.51;65.68;66.77;58.63;57.62;53.96;42.47;42.95
Swatch Group AG;Switzerland;64.55;58.52;35.64;32.71;30.5;29.94;25.29;25.04;20.42;17.5
Mercedes Benz Group AG;Germany;92.34;93.97;93.92;93.26;93.83;91.38;92.21;93.03;90.88;94.57
Logitech International SA;Switzerland;79.77;71.4;68.69;64.31;65.18;61.68;38.06;26.55;26.86;26
