Identifier;Company Name;Country of Headquarters;"ESG Score
In the last 10 FY";;;;;;;;;
;;;FY0;FY-1;FY-2;FY-3;FY-4;FY-5;FY-6;FY-7;FY-8;FY-9
ADLG.DE;Adler Real Estate AG;Germany;46,54;37,86;35,58;27,42;;;;;;
AGRG.F;AGROB Immobilien AG;Germany;;;;;;;;;;
AEE1.D;AEE Gold AG;Germany;;;;;;;;;;
AAHG.F;Ahlers AG;Germany;38,27;;;;;;;;;
ABKG.MU;Aktienbrauerei Kaufbeuren AG;Germany;;;;;;;;;;
ALXG.F;Alexanderwerk AG;Germany;;;;;;;;;;
ATWG.BE;Allerthal-Werke AG;Germany;;;;;;;;;;
ALBG.MU;Allgaeuer Brauhaus AG;Germany;;;;;;;;;;
GGS.DE;Gigaset AG;Germany;48,2;49,54;46,65;;;;;;;
BFKG.BE;Bastfaserkontor AG;Germany;;;;;;;;;;
BAYGn.DE;Bayer AG;Germany;93,28;92,29;90,73;89,12;89,65;84,4;82,92;74,95;73,85;74,65
PBBG.DE;Deutsche Pfandbriefbank AG;Germany;62,05;63,05;56,79;55,72;57,19;;;;;
BYWGnx.DE;BayWa AG;Germany;72,29;69,55;62,94;48,53;47,96;;;;;
JFBG.SG;Joh Friedrich Behrens AG;Germany;;;;;;;;;;
BEIG.DE;Beiersdorf AG;Germany;70,87;66,17;62,56;63,5;62,53;59,21;54,05;56,12;55,88;59,08
BGBG.MU;Berchtesgadener Bergbahn AG;Germany;;;;;;;;;;
ADCG.F;AdCapital AG;Germany;18,26;12,03;;;;;;;;
GBFG.DE;Bilfinger SE;Germany;68,95;63,63;70,13;68,51;70,49;71,45;63,57;69,86;60,45;53,11
BOSSn.DE;Hugo Boss AG;Germany;88,86;88,95;86,98;86,18;88,23;74,75;74,31;72,38;51,27;48,9
IPOKk.F;Heidelberger Beteiligungsholding AG;Germany;;;;;;;;;;
BLHG.F;BREMER LAGERHAUS-GESELLSCHAFT AG von 1877;Germany;57,05;45,11;;;;;;;;
BIJG.DE;Bijou Brigitte modische Accessoires AG;Germany;15,92;11;;;;;;;;
BRLG.BE;Brilliant AG;Germany;;;;;;;;;;
BBIG.F;BBI Buergerliches Brauhaus Immobilien AG;Germany;;;;;;;;;;
BBRG.SG;Buergerliches Brauhaus Ravensburg Lindau Aktiengesellschaft;Germany;;;;;;;;;;
CEAG.DE;Friwo AG;Germany;;;;;;;;;;
CBKG.DE;Commerzbank AG;Germany;80,32;78,18;70,65;69,83;73,2;69,59;62,79;67,1;66,32;68,33
CONG.DE;Continental AG;Germany;78,77;79,61;80,26;77,92;84,45;84,48;80,69;80,25;78,79;77,17
DAMG.DE;DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG;Germany;19,98;17,53;;;;;;;;
DBKGn.DE;Deutsche Bank AG;Germany;89,2;85,68;85,74;85,54;80,89;81,01;76,97;76,73;81,15;83,86
DBANn.DE;Deutsche Beteiligungs AG;Germany;44,09;43,7;46,74;35,46;;;;;;
EFFG.DE;Deutsche Effecten und Wechsel Beteiligungsgesellschaft AG;Germany;;;;;;;;;;
LHAG.DE;Deutsche Lufthansa AG;Germany;77,24;70,86;70,64;76,46;73,03;72,47;67,4;65,55;69,47;66,47
DWBG.SG;Dinkelacker AG;Germany;;;;;;;;;;
DORG.D;Dorstener Maschinenfabrik AG;Germany;;;;;;;;;;
DUEG.DE;Duerr AG;Germany;72,2;65,66;47,82;36,62;30,97;30,84;28,87;28,81;;
EDDG_p.F;edding AG;Germany;44,12;27,74;;;;;;;;
EING_p.DE;Einhell Germany AG;Germany;36,46;36,05;;;;;;;;
EISG.F;Eisen und Huettenwerke AG;Germany;;;;;;;;;;
EUKG_p.F;EUROKAI GmbH & Co KgaA;Germany;15,82;17,62;11,11;5,58;;;;;;
KWGG.DE;KHD Humboldt Wedag International AG;Germany;41,42;39,99;38,92;;;;;;;
FHWG.F;Fernheizwerk Neukoelln AG;Germany;;;;;;;;;;
FDD.H;Pilkington Deutschland AG;Germany;;;;;;;;;;
FEVG.DE;Fortec Elektronik AG;Germany;;;;;;;;;;
