Company Name;Country of Headquarters;ESG Score;;;;;;;;;
;;46,54;37,86;35,58;27,42;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;38,27;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;48,2;49,54;46,65;;;;;;;
;;;;;;;;;;;
;;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013
Bayer AG;Germany;93,28;92,29;90,73;89,12;89,65;84,4;82,92;74,95;73,85;74,65
Deutsche Pfandbriefbank AG;Germany;62,05;63,05;56,79;55,72;57,19;;;;;
BayWa AG;Germany;72,29;69,55;62,94;48,53;47,96;;;;;
Joh Friedrich Behrens AG;Germany;;;;;;;;;;
Beiersdorf AG;Germany;70,87;66,17;62,56;63,5;62,53;59,21;54,05;56,12;55,88;59,08
Berchtesgadener Bergbahn AG;Germany;;;;;;;;;;
AdCapital AG;Germany;18,26;12,03;;;;;;;;
Bilfinger SE;Germany;68,95;63,63;70,13;68,51;70,49;71,45;63,57;69,86;60,45;53,11
Hugo Boss AG;Germany;88,86;88,95;86,98;86,18;88,23;74,75;74,31;72,38;51,27;48,9
Heidelberger Beteiligungsholding AG;Germany;;;;;;;;;;
BREMER LAGERHAUS-GESELLSCHAFT AG von 1877;Germany;57,05;45,11;;;;;;;;
Bijou Brigitte modische Accessoires AG;Germany;15,92;11;;;;;;;;
Brilliant AG;Germany;;;;;;;;;;
BBI Buergerliches Brauhaus Immobilien AG;Germany;;;;;;;;;;
Buergerliches Brauhaus Ravensburg Lindau Aktiengesellschaft;Germany;;;;;;;;;;
Friwo AG;Germany;;;;;;;;;;
Commerzbank AG;Germany;80,32;78,18;70,65;69,83;73,2;69,59;62,79;67,1;66,32;68,33
Continental AG;Germany;78,77;79,61;80,26;77,92;84,45;84,48;80,69;80,25;78,79;77,17
DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG;Germany;19,98;17,53;;;;;;;;
Deutsche Bank AG;Germany;89,2;85,68;85,74;85,54;80,89;81,01;76,97;76,73;81,15;83,86
Deutsche Beteiligungs AG;Germany;44,09;43,7;46,74;35,46;;;;;;
